index,요리이름,칼로리,탄수화물,단백질,지질,나트륨,콜레스테롤,식이섬유,칼슘,비타민c,당류
3666,무한피망,5.8,1.3,31.1,6.9,23.8,4.5,4.8,7.4,114.5,0.0
3667,만두꼬치,2.1,1.4,0.7,1.9,0.0,0.0,0.6,1.7,0.6,0.0
3669,간장마요밥,27.3,21.8,25.7,41.8,11.3,107.0,3.4,5.1,0.0,0.0
3670,크래미샐러드,7.9,2.9,8.2,22.1,18.6,7.7,0.1,13.4,2.5,0.9
3671,핫딸기라떼,10.7,6.9,17.6,18.9,8.3,11.0,0.8,45.1,5.4,0.0
3672,누마상샌드위치,32.0,14.3,47.0,55.6,43.0,169.5,12.9,23.0,13.5,0.6
3673,크래미샌드위치,3.9,1.4,4.4,11.0,16.8,3.8,1.4,7.2,3.1,0.2
3674,오리훈제부추무침,3.5,1.0,2.7,12.1,7.4,1.1,4.2,2.3,8.0,0.0
3675,모짜렐라어묵튀김,17.8,9.1,44.9,27.3,32.3,120.2,2.7,52.6,0.0,0.0
3676,해물뚝배기,8.2,4.2,46.4,4.4,20.3,54.4,17.9,16.5,26.8,3.7
3677,뚝배기치즈알밥,30.0,31.2,54.7,20.1,233.4,27.3,15.0,78.9,20.0,0.0
3678,맑은콩나물국,5.6,4.5,30.7,7.4,1.4,0.0,42.0,35.3,45.5,0.0
3679,과일샌드위치꼬치,16.6,19.0,12.5,15.1,3.9,6.1,19.4,7.4,59.5,9.8
3680,파프리카버거,27.7,11.2,71.5,51.6,45.0,35.7,10.7,32.4,66.2,7.0
3681,낙지미나리초무침,10.2,11.0,21.5,3.1,65.5,25.0,17.7,7.9,20.9,0.0
3682,탄두리치킨,26.4,3.6,91.5,57.4,56.9,63.2,25.5,9.3,6.5,1.5
3683,바지락 무국,4.4,1.4,26.3,2.6,76.2,22.0,7.5,15.2,22.0,0.0
3684,소시지 콤비네이션 피자,22.1,10.6,47.2,28.8,32.2,28.3,11.5,49.2,4.4,0.6
3685,에그 포켓 샌드위치,14.5,7.8,26.0,27.8,17.5,109.0,6.9,18.5,5.4,0.0
3687,렐리쉬 치즈 핫도그,16.1,10.6,28.3,25.5,25.1,14.1,5.7,26.3,3.4,6.4
3689,발사믹 버섯 토스트,9.7,7.7,14.6,7.4,18.2,6.8,15.9,13.7,2.2,0.0
3691,딸기 보틀 샐러드,9.1,12.0,8.2,4.5,0.5,2.1,13.5,34.0,92.1,4.5
